id,step,current_data_op,current_precondition,proposed_precondition,match_count,evidence
api-search,1,transform,(none),empty_ok,0,""
browser-crawler,1,transform,(none),empty_ok,0,""
csv-discovery,1,transform,(none),empty_ok,0,""
deep-links,1,transform,(none),requires_items,2,"L4: * Reads URLs from the working pool (entity.items from sibling submodules), | L54: const existingItems = entity.items || [];"
page-links,1,transform,(none),empty_ok,0,""
rss-feeds,1,transform,(none),empty_ok,0,""
seed-url-builder,1,add,(none),empty_ok,0,""
sitemap-parser,1,transform,(none),empty_ok,0,""
test-dummy,1,transform,(none),empty_ok,0,""
url-canonicalizer,2,transform,(none),requires_items,3,"L21: if (entity.items && entity.items.length > 0) { | L22: for (const item of entity.items) { | L22: for (const item of entity.items) {"
url-dedup,2,remove,(none),requires_items,4,"L4: * Takes URLs from Step 1 working pool (attached as entity.items), | L64: if (entity.items && entity.items.length > 0) { | L65: for (const item of entity.items) {"
url-filter,2,remove,(none),requires_items,3,"L51: if (entity.items && entity.items.length > 0) { | L52: for (const item of entity.items) { | L52: for (const item of entity.items) {"
url-relevance,2,remove,(none),requires_items,1,"L123: const items = entity.items;"
api-scraper,3,transform,(none),requires_items,3,"L82: if (entity.items && entity.items.length > 0) { | L83: for (const item of entity.items) { | L83: for (const item of entity.items) {"
browser-scraper,3,transform,(none),requires_items,3,"L118: if (entity.items && entity.items.length > 0) { | L119: for (const item of entity.items) { | L119: for (const item of entity.items) {"
linkedin-post-scraper,3,add,(none),requires_items,1,"L225: const items = entity.items || [];"
linkedin-profile-scraper,3,add,(none),requires_items,1,"L591: const items = entity.items || [];"
page-scraper,3,transform,(none),requires_items,3,"L37: if (entity.items && entity.items.length > 0) { | L38: for (const item of entity.items) { | L38: for (const item of entity.items) {"
boilerplate-stripper,4,transform,(none),requires_items,3,"L167: if (entity.items && entity.items.length > 0) { | L168: for (const item of entity.items) { | L168: for (const item of entity.items) {"
content-filter,4,remove,(none),requires_items,3,"L41: if (entity.items && entity.items.length > 0) { | L42: for (const item of entity.items) { | L42: for (const item of entity.items) {"
intent-tagger,4,transform,(none),requires_items,1,"L144: const allItems = (entity.items || []).filter((item) => item.text_content || item.url);"
content-analyzer,5,add,(none),requires_items,1,"L238: const items = entity.items;"
content-writer,5,add,(none),requires_items,1,"L126: const items = entity.items || [];"
seo-planner,5,add,(none),requires_items,1,"L328: const items = entity.items || [];"
tone-seo-editor,5,add,(none),requires_items,1,"L315: const items = entity.items || [];"
citation-coverage-checker,6,add,(none),requires_items,2,"L243: const contentItems = (entity.items || []).filter(item => item.content_markdown); | L244: const analysisItems = (entity.items || []).filter(item => item.analysis_json);"
hallucination-detector,6,add,(none),requires_items,2,"L261: const contentItems = (entity.items || []).filter(item => item.content_markdown); | L262: const sourceItems = (entity.items || []).filter(item => item.text_content);"
keyword-sufficiency-checker,6,add,(none),requires_items,2,"L459: const contentItems = (entity.items || []).filter(item => item.content_markdown); | L460: const seoItems = (entity.items || []).filter(item => item.seo_plan_json);"
meta-compliance-checker,6,add,(none),requires_items,2,"L162: const contentItems = (entity.items || []).filter( | L165: const seoItems = (entity.items || []).filter(item => item.seo_plan_json);"
qa-structural,6,add,(none),requires_items,1,"L125: const contentItems = (entity.items || []).filter(item => item.content_markdown);"
loop-router,7,add,(none),requires_items,2,"L282: const qaItems = findQaItems(entity.items); | L283: const sourcePages = findSourcePages(entity.items);"
company-media,8,add,(none),requires_items,1,"L259: const analysisItems = (entity.items || []).filter(item => item.analysis_json);"
html-output,8,add,(none),requires_items,2,"L164: const markdownItems = (entity.items || []).filter(item => item.content_markdown); | L165: const analysisItems = (entity.items || []).filter(item => item.analysis_json);"
json-output,8,add,(none),requires_items,3,"L128: const markdownItems = (entity.items || []).filter(item => item.content_markdown); | L129: const analysisItems = (entity.items || []).filter(item => item.analysis_json); | L130: const seoItems = (entity.items || []).filter(item => item.seo_plan_json);"
markdown-output,8,add,(none),requires_items,2,"L158: const allMarkdownItems = (entity.items || []).filter(item => item.content_markdown); | L159: const analysisItems = (entity.items || []).filter(item => item.analysis_json);"
meta-output,8,add,(none),requires_items,2,"L84: const seoItems = (entity.items || []).filter(item => item.seo_plan_json); | L85: const analysisItems = (entity.items || []).filter(item => item.analysis_json);"
schema-org-injector,8,add,(none),requires_items,3,"L358: const jsonOutputItems = (entity.items || []).filter(item => isJsonOutputItem(item)); | L359: const analysisItems = (entity.items || []).filter(item => item.analysis_json); | L360: const seoItems = (entity.items || []).filter(item => item.seo_plan_json);"
